REGION_ID,YEAR,TECHNOLOGY,ResidualCapacity,MaxInstalledCapacity,MaxEnergy
1,2050,Nuclear_new,0,100000,1.00E+16
1,2050,CCGT_new,0,100000,1.00E+16
1,2050,OCGT_new,0,100000,1.00E+16
1,2050,Wind_onshore,0,125000,1.00E+16
1,2050,Wind_offshore,0,66000,1.00E+16
1,2050,PV_large,0,100000,1.00E+16
1,2050,PV_small,0,200000,1.00E+16
1,2050,Hydro_ROR,11800,11800,1.00E+16
1,2050,Hydro_Dam,8800,8800,1.00E+16
2,2050,Nuclear_new,0,100000,1.00E+16
2,2050,CCGT_new,0,100000,1.00E+16
2,2050,OCGT_new,0,100000,1.00E+16
2,2050,Wind_onshore,0,125000,1.00E+16
2,2050,Wind_offshore,0,66000,1.00E+16
2,2050,PV_large,0,100000,1.00E+16
2,2050,PV_small,0,200000,1.00E+16
2,2050,Hydro_ROR,11800,11800,1.00E+16
2,2050,Hydro_Dam,8800,8800,1.00E+16
