YEAR,TECHNOLOGY,Fuel,CAPEX,OPEXfix,FuelCost,FullLoadEfficiency,VarO&M,OPEXvar,Technology lifetime,Economic lifetime,WACC,CO2 content ,EmissionFactor,CCSRatio,Size,StartUpCost,MinPower,RampUpRate,RampDownRate,MinStartUpHour,MinShutDownHour,FCRup,FCRdown,aFRRup,aFRRdown,mFRRup,mFRRdown,AvailAvg,AvailSTD,MustRunWinter,MustRunSummer
2050,Nuclear_old,uranium,1400000,115000,3,0.33,1.3,10,60,60,0.045,0,0,0,1000,21,0.4,0.05,0.05,12,12,0.02,0.02,0.05,0.05,0.75,0.75,0.75,0.1,.,.
2050,Nuclear_old_LTO10,uranium,650000,115000,3,0.33,1.3,10,60,60,0.045,0,0,0,1000,21,0.4,0.05,0.05,12,12,0.02,0.02,0.05,0.05,0.75,0.75,0.75,0.1,.,.
2050,Nuclear_old_LTO20,uranium,350000,115000,3,0.33,1.3,10,60,60,0.045,0,0,0,1000,21,0.4,0.05,0.05,12,12,0.02,0.02,0.05,0.05,0.75,0.75,0.75,0.1,.,.
2050,Nuclear_new,uranium,3900000,115000,3,0.33,1.3,10,60,60,0.045,0,0,0,1650,21,0.4,0.05,0.05,12,12,0.02,0.02,0.05,0.05,0.75,0.75,0.85,0.1,.,.
2050,Hard_coal,hard_coal,9999999999,50000,7,0.4,3.3,20.8,40,40,0.045,0.353889909,884.7247723,0,750,58,0.4,0.02,0.05,6,6,0.01,0.025,0.1,0.25,0.3,0.75,0.85,0,.,.
2050,Lignite,lignite,9999999999,50000,5,0.4,3.3,15.8,40,40,0.045,0.363610181,909.0254527,0,750,58,0.5,0.02,0.05,9,9,0.01,0.025,0.1,0.25,0.3,0.75,0.85,0,.,.
2050,Oil,oil,9999999999,50000,47,0.35,3.3,137.5857143,30,30,0.045,0.28,796.1365775,0,100,33,0.5,0.08,0.08,1,1,0.04,0.04,0.4,0.4,1,1,0.85,0,.,.
2050,CCGT_old,gas,830000,36000,26,0.48,1.6,55.76666667,30,30,0.045,0.201965655,420.7617813,0,580,44,0.5,0.02,0.05,2,2,0.01,0.025,0.1,0.25,0.3,0.75,0.85,0,.,.
2050,OCGT_old,gas,450000,26000,26,0.35,1.6,75.88571429,30,30,0.045,0.201965655,577.0447287,0,100,45,0.5,0.08,0.08,0,0,0.04,0.04,0.4,0.4,1,1,0.85,0,.,.
2050,CCGT_new,gas,830000,36000,26,0.6,1.6,44.93333333,30,30,0.045,0.201965655,336.6094251,0,580,28,0.4,0.04,0.05,2,2,0.02,0.025,0.2,0.25,0.6,0.75,0.85,0,.,.
2050,OCGT_new,gas,450000,26000,26,0.42,1.6,63.5047619,30,30,0.045,0.201965655,480.8706072,0,100,21,0.5,0.12,0.12,0,0,0.06,0.06,0.6,0.6,1,1,0.85,0,.,.
2050,CCGT_CCS,gas,2600000,65000,26,0.52,3.2,53.2,30,30,0.045,0.201965655,388.3954905,0.9,485,44,0.4,0.04,0.05,4,4,0.02,0.025,0.2,0.25,0.6,0.75,0.85,0,.,.
2050,Biogas,biomass,2400000,90000,. ,0.36,6,90,25,25,0.045,0,0,0,100,36,0.2,0.06,0.06,8,8,0.1,0.03,0.3,0.3,0.9,0.9,0.8,0,.,.
2050,Biogas_CHP,biomass,6000000,1900000,.,0.36,6,90,20,20,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0,0.4,0.4
2050,Biomass_CHP,biomass,5100000,190000,.,0.36,6,15,20,20,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0,0.4,0.4
2050,Waste_CHP,biomass,7150000,270000,.,0.36,6,0,25,25,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0,0.4,0.4
2050,Gas_CHP,gas,1300000,50000,50,0.48,6,105.7666667,30,30,0.045,0.201965655,420.7617813,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0,0.5,0.1
2050,Biogas_CCS,biomass,4000000,120000,0,0.27,8,82,25,25,0.045,0,0,-0.88,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0,.,.
2050,PV_large,solar,580000,12000,0,1,.,0,25,25,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,.,.
2050,PV_small,solar,1490000,50000,0,1,.,0,25,25,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,.,.
2050,Wind_onshore,wind,900000,25000,0,1,.,0,30,30,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,.,.
2050,Wind_offshore,wind,1820000,36000,0,1,.,0,30,30,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,.,.
2050,Hydro_ROR,hydro,9999999999,60000,0,1,.,0,70,70,0.045,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,.,.
2050,Hydro_Dam,hydro,9999999999,18000,0,1,.,0,70,70,0.045,0,0,0,100,0,0.6,0.15,0.15,0,0,0.075,0.075,0.75,0.75,1,1,0.85,0,.,.
